"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CAP_D5";1;"100uF";;;
2;"C2";"C_0603";1;"0.1uF";;;
3;"C3, C4";"C_0805";2;"22uF";;;
4;"C5";"C_0603";1;"10uF";;;
5;"C6, C7, C8";"C_0603";3;"1uF";;;
6;"D1";"SOD123";1;"SMAJ15A";;;
7;"F1";"FUSE_1210";1;"3A_PTC";;;
8;"J1";"CONN_3W_TERMINAL";1;"PWR_IN_HARNESS";;;
9;"J2";"FPC_40P_0.5MM";1;"FPC40_0.5mm";;;
10;"J3";"JACK_3.5MM";1;"AUX_OUT";;;
11;"J4";"JACK_3.5MM";1;"MIC_IN";;;
12;"J5";"SMA_EDGE";1;"ANT_SMA";;;
13;"J6";"USB_A_TH";1;"USB_A (mic/dongle)";;;
14;"J7";"USB_A_TH";1;"USB_A (dongle)";;;
15;"J8";"USB_C_TH";1;"USB_C (debug/flash)";;;
16;"J9";"HDR_1X4";1;"UART_DEBUG";;;
17;"L1";"L_0805";1;"10uH";;;
18;"L2";"L_0805";1;"4.7uH";;;
19;"Q1";"SOT23";1;"DMP3098L";;;
20;"R1";"R_0603";1;"100k";;;
21;"R2";"R_0603";1;"22k";;;
22;"R3";"R_0603";1;"10k";;;
23;"R4";"R_0603";1;"10k (FB top)";;;
24;"R5";"R_0603";1;"3.3k (FB bottom)";;;
25;"SD1";"MICROSD_PUSH";1;"microSD";;;
26;"SOM1";"SODIMM_200_SOCKET";1;"Radxa CM3S (RK3566/68)";;;
27;"T1";"XFMR_SMD6";1;"LM-1547 (L ch)";;;
28;"T2";"XFMR_SMD6";1;"LM-1547 (R ch)";;;
29;"U1";"SOIC8";1;"TPS54331DR";;;
30;"U2";"SOT23-5_4PIN";1;"TPS62203/AMS1117-3.3";;;
31;"U3";"SOT23";1;"TPS7A02 (standby, off BA";;;
32;"U4";"SOT23-5";1;"TLV3201";;;
33;"U5";"SOT23-5";1;"AP2331WG-7";;;
34;"U6";"SOT23-5";1;"TPS61165";;;
35;"U7";"QFN32";1;"WM8960";;;
36;"U8";"QFN20";1;"Si4713-B30-GM";;;
37;"Y1";"XTAL_2016";1;"32.768kHz";;;
